id;uid;totalprice;orderstatus;paymentmode;timestamp;ivid;paymentid;trnsid;
"166";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-23 04:16:27";"Adid995B3B682D";"Not Paid";"";
"165";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-23 04:15:38";"Adid99D3E849C9";"Not Paid";"";
"164";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-23 04:06:09";"Adid43106A8A66";"Not Paid";"";
"159";"7";"111";"In Progress";"off line payment";"2018-09-22 21:18:32";"ivid2BC83BEFBC";"";"";
"157";"7";"1221";"Order Placed";"cash on delivery";"2018-09-22 16:40:48";"ividD949F8A278";"";"";
"156";"7";"450";"Cancelled";"off line payment";"2018-09-22 16:29:45";"ivid81A01CBB53";"";"";
"154";"7";"0";"Delivered";"Free Adoption";"2018-09-22 15:13:18";"Adid9305F27F64";"";"";
"153";"45";"0";"Delivered";"Free Adoption";"2018-09-22 14:05:19";"AdidD4DA934B13";"";"";
"152";"7";"185";"Order Placed";"cash on delivery";"2018-09-17 16:45:04";"ividEC0218351D";"";"";
"151";"7";"111";"Order Placed";"cash on delivery";"2018-09-16 22:23:15";"ividEE1C48D32E";"";"";
"150";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-15 12:06:36";"AdidD3D1CF5D73";"";"";
"149";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-15 12:02:49";"Adid3B83612909";"";"";
"141";"7";"0";"Order Placed";"off line payment";"2018-09-13 12:35:55";"ivid4FD966EA30";"";"";
"140";"7";"450";"Order Placed";"off line payment";"2018-09-13 12:34:46";"ividBA194B7852";"";"";
"139";"7";"450";"Order Placed";"off line payment";"2018-09-13 12:33:06";"ividC090672F76";"";"";
"138";"7";"111";"Order Placed";"cash on delivery";"2018-09-13 12:31:18";"ivid64A265EB2F";"";"";
"137";"7";"450";"Order Placed";"off line payment";"2018-09-13 12:15:17";"ividB3D2F9054E";"";"";
"135";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-13 12:01:45";"Adid8AF1C39098";"";"";
"134";"7";"450";"Order Placed";"off line payment";"2018-09-13 12:00:25";"ividFEB3CC423E";"";"";
"133";"7";"2250";"Order Placed";"off line payment";"2018-09-13 11:58:44";"ivid898F0E8095";"";"";
"131";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-13 11:54:26";"Adid555465FEA6";"";"";
"129";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-13 09:46:19";"Adid2604B195BE";"";"";
"127";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-12 21:49:02";"AdidE492D540D4";"";"";
"126";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-12 21:38:59";"Adid16D575FF23";"";"";
"125";"7";"0";"Adoption Application Placed";"Free Adoption";"2018-09-12 17:20:26";"Adid82F8A33493";"";"";
"124";"7";"5445";"Order Placed";"off line payment";"2018-09-12 17:11:05";"ivid7A30F8CCC4";"";"";
"123";"45";"450";"Order Placed";"off line payment";"2018-09-12 12:05:34";"ivid813C6FF71C";"";"";
"122";"45";"0";"Adoption Application Placed";"Free Adoption";"2018-09-12 11:52:59";"Adid85282C6FA4";"";"";
"121";"45";"0";"Adoption Application Placed";"Free Adoption";"2018-09-12 11:48:51";"Adid0962450DBE";"";"";
"120";"45";"0";"Cancelled";"Free Adoption";"2018-09-12 11:47:39";"Adid2B43EF133E";"";"";
