id;uid;totalprice;orderstatus;paymentmode;timestamp;ivid;paymentid;trnsid;
"159";"7";"111";"In Progress";"off line payment";"2018-09-22 21:18:32";"ivid2BC83BEFBC";"";"";
"157";"7";"1221";"Order Placed";"cash on delivery";"2018-09-22 16:40:48";"ividD949F8A278";"";"";
"156";"7";"450";"Cancelled";"off line payment";"2018-09-22 16:29:45";"ivid81A01CBB53";"";"";
"152";"7";"185";"Order Placed";"cash on delivery";"2018-09-17 16:45:04";"ividEC0218351D";"";"";
"151";"7";"111";"Order Placed";"cash on delivery";"2018-09-16 22:23:15";"ividEE1C48D32E";"";"";
"141";"7";"0";"Order Placed";"off line payment";"2018-09-13 12:35:55";"ivid4FD966EA30";"";"";
"140";"7";"450";"Order Placed";"off line payment";"2018-09-13 12:34:46";"ividBA194B7852";"";"";
"139";"7";"450";"Order Placed";"off line payment";"2018-09-13 12:33:06";"ividC090672F76";"";"";
"138";"7";"111";"Order Placed";"cash on delivery";"2018-09-13 12:31:18";"ivid64A265EB2F";"";"";
"137";"7";"450";"Order Placed";"off line payment";"2018-09-13 12:15:17";"ividB3D2F9054E";"";"";
"134";"7";"450";"Order Placed";"off line payment";"2018-09-13 12:00:25";"ividFEB3CC423E";"";"";
"133";"7";"2250";"Order Placed";"off line payment";"2018-09-13 11:58:44";"ivid898F0E8095";"";"";
"124";"7";"5445";"Order Placed";"off line payment";"2018-09-12 17:11:05";"ivid7A30F8CCC4";"";"";
"123";"45";"450";"Order Placed";"off line payment";"2018-09-12 12:05:34";"ivid813C6FF71C";"";"";
"116";"44";"111";"Order Placed";"off line payment";"2018-09-11 12:15:18";"ivid902A0001B0";"";"";
"114";"44";"450";"Order Placed";"cash on delivery";"2018-09-11 12:12:44";"ividE21392DE74";"";"";
"95";"7";"450";"Order Placed";"off line payment";"2018-09-10 16:06:07";"ividD3D4F009EC";"";"";
"94";"7";"37";"Order Placed";"off line payment";"2018-09-10 16:05:25";"ivid143577C69C";"";"";
"91";"7";"111";"Order Placed";"cash on delivery";"2018-09-09 15:12:57";"ivid39CF07CC59";"";"";
"90";"7";"450";"Order Placed";"off line payment";"2018-09-09 12:31:00";"ividDE15499538";"";"";
"89";"41";"999";"In Progress";"off line payment";"2018-09-05 11:47:50";"ividDFFABE00E5";"pid4EEC029238";"123132423dfghf";
"88";"7";"882";"Dispatched";"off line payment";"2018-09-03 13:07:53";"ivid3086CD9331";"";"";
"87";"7";"882";"Order Placed";"off line payment";"2018-09-03 12:59:31";"ividAFB2506E06";"";"";
"86";"7";"450";"Order Placed";"off line payment";"2018-09-03 12:58:46";"ividA3A9474544";"";"";
"85";"7";"450";"Order Placed";"off line payment";"2018-09-03 12:57:10";"ividD01E1BEC2B";"";"";
"84";"7";"2250";"Order Placed";"off line payment";"2018-09-03 12:53:27";"ivid3ECA882A69";"pid329B2E864B";"34354545645646";
"83";"7";"999";"Paid";"off line payment";"2018-09-03 12:49:16";"ivid6AAA176878";"pidB4B09CBC32";"34354545645646";
"82";"7";"37";"Order Placed";"cash on delivery";"2018-09-03 12:46:37";"ivid71644C5859";"pid2300456B6A";"33333333333333";
"79";"40";"882";"Order Placed";"off line payment";"2018-09-03 12:27:21";"ivid0669886D99";"";"";
"78";"40";"999";"Order Placed";"off line payment";"2018-09-03 12:24:15";"ivid5931E1887B";"";"";
"76";"40";"882";"Order Placed";"off line payment";"2018-09-03 11:51:37";"ivid7496A3ADB5";"";"";
"75";"40";"999";"Order Placed";"off line payment";"2018-09-03 11:20:46";"ivid3D39E67BF9";"";"";
"74";"39";"4500";"Delivered";"off line payment";"2018-09-02 16:37:16";"ivid7E4CE1CFF3";"";"";
"73";"39";"999";"Order Placed";"off line payment";"2018-09-02 16:35:43";"ivid864518B2D7";"pid45838BDFE5";"asdasdsda242";
"72";"38";"16";"Order Placed";"off line payment";"2018-09-02 16:24:13";"ividCD533F8626";"pidD66723EF7B";"as12345678as";
"71";"38";"111";"Order Placed";"off line payment";"2018-09-02 16:12:06";"ivid57C623FBD0";"";"";
"70";"37";"37";"Order Placed";"off line payment";"2018-09-02 13:08:18";"ivid252FB41B7E";"pidFC7B95282D";"123132423dfghf";
"69";"35";"37";"Order Placed";"off line payment";"2018-09-02 12:53:55";"ivid15F2013A3B";"pidE855304A50";"121334354xcddgf";
"68";"35";"450";"Order Placed";"off line payment";"2018-09-02 12:16:30";"ividECC0385FE6";"pidDCB88A2FA9";"12314cvfbcg";
